,listing_id,year,comments,id,lat_lon,price,latitude,longitude
23415,26663711,2020,60,26663711,"19.39225,-99.17807",1253.0,19.39225,-99.17807
23419,26663719,2020,18,26663719,"19.39318,-99.17588",990.5,19.39318,-99.17588
23423,26663731,2020,118,26663731,"['19.39299,-99.17642' '19.39369,-99.17804']",980.0,19.39299,-99.17642
23427,26663742,2020,74,26663742,"19.39448,-99.17803",937.0,19.39448,-99.17803
23431,26664701,2020,20,26664701,"['19.42091,-99.16115' '19.42206,-99.16295']",2153.0,19.42091,-99.16115
23435,26665586,2020,26,26665586,"19.3475,-99.1599",1050.0,19.3475,-99.1599
23440,26683346,2020,1,26683346,"19.34243,-99.1507",500.0,19.34243,-99.1507
23443,26686315,2020,10,26686315,"19.52959,-99.15205",400.0,19.52959,-99.15205
23447,26686678,2020,24,26686678,"19.33937,-99.17681",700.0,19.33937,-99.17681
23456,26687583,2020,8,26687583,"19.35136,-99.16071",800.0,19.35136,-99.16071
23460,26687784,2020,2,26687784,"19.35136,-99.16071",800.0,19.35136,-99.16071
23464,26689644,2020,50,26689644,"['19.4306,-99.1682' '19.43272,-99.17036']",300.0,19.4306,-99.1682
23468,26691399,2020,74,26691399,"19.43729,-99.18756",1181.5,19.43729,-99.18756
23472,26692272,2020,32,26692272,"['19.45161,-99.12958' '19.451792,-99.129715']",480.5,19.45161,-99.12958
23475,26694760,2020,36,26694760,"19.43391,-99.18485",641.0,19.43391,-99.18485
23479,26698970,2020,2,26698970,"19.43863,-99.14838",813.0,19.43863,-99.14838
23483,26710139,2020,16,26710139,"['19.42867,-99.14724' '19.42977,-99.14787']",443.0,19.42867,-99.14724
23486,26714356,2020,2,26714356,"19.33966,-99.1777",700.0,19.33966,-99.1777
23493,26716373,2020,26,26716373,"19.43673,-99.16528",1132.0,19.43673,-99.16528
23497,26719867,2020,8,26719867,"19.27986,-99.14225",280.0,19.27986,-99.14225
23500,26720495,2020,8,26720495,"19.27942,-99.1412",275.0,19.27942,-99.1412
23511,26744847,2020,33,26744847,"19.40316,-99.18514",703.0,19.40316,-99.18514
23515,26749148,2020,2,26749148,"19.39275,-99.17882",395.0,19.39275,-99.17882
23517,26749248,2020,40,26749248,"19.44031,-99.09071",368.0,19.44031,-99.09071
23521,26749340,2020,9,26749340,"19.41948,-99.13379",650.0,19.41948,-99.13379
23524,26751554,2020,6,26751554,"['19.42769,-99.17763' '19.42967,-99.17836']",690.0,19.42769,-99.17763
23526,26752958,2020,2,26752958,"19.31441,-99.13945",250.0,19.31441,-99.13945
